accession	study	bioproject_accession	biosample_accession	sample_name	library_ID
SRR8335495	SRP173779	PRJNA510549	SAMN10607334	ad1-018	ad1-018_V1V2
SRR8335496	SRP173779	PRJNA510549	SAMN10607334	ad1-018	ad1-018_V3V4
SRR8335493	SRP173779	PRJNA510549	SAMN10607335	ad1-021	ad1-021_V1V2
SRR8335494	SRP173779	PRJNA510549	SAMN10607335	ad1-021	ad1-021_V3V4
SRR8335499	SRP173779	PRJNA510549	SAMN10607336	ad1-022	ad1-022_V1V2
SRR8335500	SRP173779	PRJNA510549	SAMN10607336	ad1-022	ad1-022_V3V4
SRR8335497	SRP173779	PRJNA510549	SAMN10607337	ad1-030	ad1-030_V1V2
SRR8335498	SRP173779	PRJNA510549	SAMN10607337	ad1-030	ad1-030_V3V4
SRR8335491	SRP173779	PRJNA510549	SAMN10607338	ad1-038	ad1-038_V1V2
SRR8335492	SRP173779	PRJNA510549	SAMN10607338	ad1-038	ad1-038_V3V4
SRR8335410	SRP173779	PRJNA510549	SAMN10607339	ad1-040	ad1-040_V1V2
SRR8335411	SRP173779	PRJNA510549	SAMN10607339	ad1-040	ad1-040_V3V4
SRR8335408	SRP173779	PRJNA510549	SAMN10607340	ad3-001	ad3-001_V1V2
SRR8335409	SRP173779	PRJNA510549	SAMN10607340	ad3-001	ad3-001_V3V4
SRR8335414	SRP173779	PRJNA510549	SAMN10607341	ad2-005	ad2-005_V1V2
SRR8335415	SRP173779	PRJNA510549	SAMN10607341	ad2-005	ad2-005_V3V4
SRR8335412	SRP173779	PRJNA510549	SAMN10607342	ad2-007	ad2-007_V1V2
SRR8335413	SRP173779	PRJNA510549	SAMN10607342	ad2-007	ad2-007_V3V4
SRR8335405	SRP173779	PRJNA510549	SAMN10607343	ad2-010	ad2-010_V1V2
SRR8335407	SRP173779	PRJNA510549	SAMN10607343	ad2-010	ad2-010_V3V4
SRR8335484	SRP173779	PRJNA510549	SAMN10607344	ad2-013	ad2-013_V1V2
SRR8335483	SRP173779	PRJNA510549	SAMN10607344	ad2-013	ad2-013_V3V4
SRR8335482	SRP173779	PRJNA510549	SAMN10607345	ad2-015	ad2-015_V1V2
SRR8335481	SRP173779	PRJNA510549	SAMN10607345	ad2-015	ad2-015_V3V4
SRR8335488	SRP173779	PRJNA510549	SAMN10607346	ad2-016	ad2-016_V1V2
SRR8335487	SRP173779	PRJNA510549	SAMN10607346	ad2-016	ad2-016_V3V4
SRR8335486	SRP173779	PRJNA510549	SAMN10607347	ad2-018	ad2-018_V1V2
SRR8335485	SRP173779	PRJNA510549	SAMN10607347	ad2-018	ad2-018_V3V4
SRR8335490	SRP173779	PRJNA510549	SAMN10607348	ad2-022	ad2-022_V1V2
SRR8335489	SRP173779	PRJNA510549	SAMN10607348	ad2-022	ad2-022_V3V4
SRR8335406	SRP173779	PRJNA510549	SAMN10607349	ad2-025	ad2-025_V1V2
SRR8335421	SRP173779	PRJNA510549	SAMN10607349	ad2-025	ad2-025_V3V4
SRR8335422	SRP173779	PRJNA510549	SAMN10607350	ad2-029	ad2-029_V1V2
SRR8335423	SRP173779	PRJNA510549	SAMN10607350	ad2-029	ad2-029_V3V4
SRR8335503	SRP173779	PRJNA510549	SAMN10607351	ad2-030	ad2-030_V1V2
SRR8335504	SRP173779	PRJNA510549	SAMN10607351	ad2-030	ad2-030_V3V4
SRR8335505	SRP173779	PRJNA510549	SAMN10607352	ad2-031	ad2-031_V1V2
SRR8335506	SRP173779	PRJNA510549	SAMN10607352	ad2-031	ad2-031_V3V4
SRR8335501	SRP173779	PRJNA510549	SAMN10607353	ad2-032	ad2-032_V1V2
SRR8335502	SRP173779	PRJNA510549	SAMN10607353	ad2-032	ad2-032_V3V4
SRR8335466	SRP173779	PRJNA510549	SAMN10607354	ad2-034	ad2-034_V1V2
SRR8335465	SRP173779	PRJNA510549	SAMN10607354	ad2-034	ad2-034_V3V4
SRR8335468	SRP173779	PRJNA510549	SAMN10607355	ad2-035	ad2-035_V1V2
SRR8335467	SRP173779	PRJNA510549	SAMN10607355	ad2-035	ad2-035_V3V4
SRR8335462	SRP173779	PRJNA510549	SAMN10607356	ad2-036	ad2-036_V1V2
SRR8335461	SRP173779	PRJNA510549	SAMN10607356	ad2-036	ad2-036_V3V4
SRR8335464	SRP173779	PRJNA510549	SAMN10607357	ad2-043	ad2-043_V1V2
SRR8335463	SRP173779	PRJNA510549	SAMN10607357	ad2-043	ad2-043_V3V4
SRR8335470	SRP173779	PRJNA510549	SAMN10607358	ad2-045	ad2-045_V1V2
SRR8335469	SRP173779	PRJNA510549	SAMN10607358	ad2-045	ad2-045_V3V4
SRR8335477	SRP173779	PRJNA510549	SAMN10607359	ad2-001	ad2-001_V1V2
SRR8335478	SRP173779	PRJNA510549	SAMN10607359	ad2-001	ad2-001_V3V4
SRR8335475	SRP173779	PRJNA510549	SAMN10607360	ad3-003	ad3-003_V1V2
SRR8335476	SRP173779	PRJNA510549	SAMN10607360	ad3-003	ad3-003_V3V4
SRR8335473	SRP173779	PRJNA510549	SAMN10607361	ad3-004	ad3-004_V1V2
SRR8335474	SRP173779	PRJNA510549	SAMN10607361	ad3-004	ad3-004_V3V4
SRR8335471	SRP173779	PRJNA510549	SAMN10607362	ad3-015	ad3-015_V1V2
SRR8335472	SRP173779	PRJNA510549	SAMN10607362	ad3-015	ad3-015_V3V4
SRR8335479	SRP173779	PRJNA510549	SAMN10607363	ad3-018	ad3-018_V1V2
SRR8335480	SRP173779	PRJNA510549	SAMN10607363	ad3-018	ad3-018_V3V4
SRR8335440	SRP173779	PRJNA510549	SAMN10607364	ad2-038	ad2-038_V1V2
SRR8335439	SRP173779	PRJNA510549	SAMN10607364	ad2-038	ad2-038_V3V4
SRR8335438	SRP173779	PRJNA510549	SAMN10607365	ad1-028	ad1-028_V1V2
SRR8335437	SRP173779	PRJNA510549	SAMN10607365	ad1-028	ad1-028_V3V4
SRR8335436	SRP173779	PRJNA510549	SAMN10607366	ad1-031	ad1-031_V1V2
SRR8335435	SRP173779	PRJNA510549	SAMN10607366	ad1-031	ad1-031_V3V4
SRR8335434	SRP173779	PRJNA510549	SAMN10607367	ad1-041	ad1-041_V1V2
SRR8335433	SRP173779	PRJNA510549	SAMN10607367	ad1-041	ad1-041_V3V4
SRR8335432	SRP173779	PRJNA510549	SAMN10607368	ad2-003	ad2-003_V1V2
SRR8335431	SRP173779	PRJNA510549	SAMN10607368	ad2-003	ad2-003_V3V4
SRR8335453	SRP173779	PRJNA510549	SAMN10607369	ad2-006	ad2-006_V1V2
SRR8335454	SRP173779	PRJNA510549	SAMN10607369	ad2-006	ad2-006_V3V4
SRR8335455	SRP173779	PRJNA510549	SAMN10607370	ad2-008	ad2-008_V1V2
SRR8335456	SRP173779	PRJNA510549	SAMN10607370	ad2-008	ad2-008_V3V4
SRR8335457	SRP173779	PRJNA510549	SAMN10607371	ad2-009	ad2-009_V1V2
SRR8335458	SRP173779	PRJNA510549	SAMN10607371	ad2-009	ad2-009_V3V4
SRR8335459	SRP173779	PRJNA510549	SAMN10607372	ad2-011	ad2-011_V1V2
SRR8335460	SRP173779	PRJNA510549	SAMN10607372	ad2-011	ad2-011_V3V4
SRR8335451	SRP173779	PRJNA510549	SAMN10607373	ad2-012	ad2-012_V1V2
SRR8335452	SRP173779	PRJNA510549	SAMN10607373	ad2-012	ad2-012_V3V4
SRR8335419	SRP173779	PRJNA510549	SAMN10607374	ad2-014	ad2-014_V1V2
SRR8335418	SRP173779	PRJNA510549	SAMN10607374	ad2-014	ad2-014_V3V4
SRR8335424	SRP173779	PRJNA510549	SAMN10607375	ad2-019	ad2-019_V1V2
SRR8335420	SRP173779	PRJNA510549	SAMN10607375	ad2-019	ad2-019_V3V4
SRR8335426	SRP173779	PRJNA510549	SAMN10607376	ad2-021	ad2-021_V1V2
SRR8335425	SRP173779	PRJNA510549	SAMN10607376	ad2-021	ad2-021_V3V4
SRR8335428	SRP173779	PRJNA510549	SAMN10607377	ad2-023	ad2-023_V1V2
SRR8335427	SRP173779	PRJNA510549	SAMN10607377	ad2-023	ad2-023_V3V4
SRR8335430	SRP173779	PRJNA510549	SAMN10607378	ad2-039	ad2-039_V1V2
SRR8335429	SRP173779	PRJNA510549	SAMN10607378	ad2-039	ad2-039_V3V4
SRR8335443	SRP173779	PRJNA510549	SAMN10607379	ad2-040	ad2-040_V1V2
SRR8335444	SRP173779	PRJNA510549	SAMN10607379	ad2-040	ad2-040_V3V4
SRR8335441	SRP173779	PRJNA510549	SAMN10607380	ad2-047	ad2-047_V1V2
SRR8335442	SRP173779	PRJNA510549	SAMN10607380	ad2-047	ad2-047_V3V4
SRR8335447	SRP173779	PRJNA510549	SAMN10607381	ad3-008	ad3-008_V1V2
SRR8335448	SRP173779	PRJNA510549	SAMN10607381	ad3-008	ad3-008_V3V4
SRR8335445	SRP173779	PRJNA510549	SAMN10607382	ad3-029	ad3-029_V1V2
SRR8335446	SRP173779	PRJNA510549	SAMN10607382	ad3-029	ad3-029_V3V4
SRR8335449	SRP173779	PRJNA510549	SAMN10607383	ad3-033	ad3-033_V1V2
SRR8335450	SRP173779	PRJNA510549	SAMN10607383	ad3-033	ad3-033_V3V4
SRR8335417	SRP173779	PRJNA510549	SAMN10607384	NTC	NTC_V1V2
SRR8335416	SRP173779	PRJNA510549	SAMN10607384	NTC	NTC_V3V4
